MATLAB,Python,Difference,Relative Difference,MATLAB Derivative (Newton approx),Python Derivative (Newton Approximation),Difference,
1.0467,1.04675,-0.00005,-5.17E-05,-0.0056,-0.00559,-0.00001,
1.0614,1.06148,-0.00008,-7.35E-05,0.0147,0.01472,-0.00002,
1.064,1.06412,-0.00012,-0.000110953,0.0026,0.00264,-0.00004,
1.0631,1.06315,-0.00005,-5.12E-05,-0.0009,-0.00096,0.00006,
1.0576,1.05773,-0.00013,-0.000118606,-0.0055,-0.00543,-0.00007,
1.0686,1.06871,-0.00011,-9.94E-05,0.011,0.01098,0.00002,
1.0764,1.07651,-0.00011,-9.98E-05,0.0078,0.0078,0,
1.0874,1.08754,-0.00014,-0.000124181,0.011,0.01103,-0.00003,
1.0824,1.08245,-0.00005,-5.03E-05,-0.005,-0.00508,0.00008,
1.0952,1.09533,-0.00013,-0.000114467,0.0128,0.01287,-0.00007,
1.1035,1.10363,-0.00013,-0.000115196,0.0083,0.0083,0,
1.1147,1.11482,-0.00012,-0.00010422,0.0112,0.01119,0.00001,
1.1049,1.105,-0.0001,-9.45E-05,-0.0098,-0.00981,0.00001,
1.1032,1.10327,-0.00007,-6.07E-05,-0.0017,-0.00174,0.00004,
1.1271,1.12721,-0.00011,-9.96E-05,0.0239,0.02395,-0.00005,
1.1321,1.1322,-0.0001,-9.03E-05,0.005,0.00499,0.00001,
1.1233,1.12336,-0.00006,-5.69E-05,-0.0088,-0.00884,0.00004,
1.1212,1.1213,-0.0001,-8.93E-05,-0.0021,-0.00206,-0.00004,
1.1082,1.10833,-0.00013,-0.000113602,-0.013,-0.01297,-0.00003,
1.1148,1.11487,-0.00007,-6.23E-05,0.0066,0.00654,0.00006,
1.1212,1.12133,-0.00013,-0.000111926,0.0064,0.00646,-0.00006,
1.1216,1.12167,-0.00007,-6.07E-05,0.0004,0.00034,0.00006,
1.1124,1.11248,-0.00008,-7.61E-05,-0.0092,-0.00918,-0.00002,
1.1051,1.10516,-0.00006,-5.25E-05,-0.0073,-0.00733,0.00003,
1.0994,1.09953,-0.00013,-0.000116306,-0.0057,-0.00563,-0.00007,
1.1083,1.10836,-0.00006,-5.84E-05,0.0089,0.00884,0.00006,
1.1124,1.11252,-0.00012,-0.000106052,0.0041,0.00415,-0.00005,
1.1078,1.10792,-0.00012,-0.000106006,-0.0046,-0.0046,0,
1.1097,1.10981,-0.00011,-0.000101855,0.0019,0.0019,0,
1.1123,1.1124,-0.0001,-8.99E-05,0.0026,0.00259,0.00001,
1.1075,1.10761,-0.00011,-9.68E-05,-0.0048,-0.00479,-0.00001,
1.1142,1.11437,-0.00017,-0.000150039,0.0067,0.00676,-0.00006,
1.1117,1.11184,-0.00014,-0.000127186,-0.0025,-0.00253,0.00003,
1.1091,1.10923,-0.00013,-0.000116804,-0.0026,-0.00261,0.00001,
1.1323,1.13238,-0.00008,-6.93E-05,0.0232,0.02315,0.00005,
1.1438,1.14389,-0.00009,-7.66E-05,0.0115,0.01151,-0.00001,
1.142,1.14216,-0.00016,-0.000138349,-0.0018,-0.00173,-0.00007,
1.156,1.15614,-0.00014,-0.000118847,0.014,0.01398,0.00002,
1.1546,1.15475,-0.00015,-0.00013284,-0.0014,-0.00138,-0.00002,
1.1612,1.16129,-0.00009,-8.17E-05,0.0066,0.00654,0.00006,
1.1675,1.16759,-0.00009,-7.77E-05,0.0063,0.0063,0,
1.1811,1.18127,-0.00017,-0.00014132,0.0136,0.01368,-0.00008,
1.1719,1.17201,-0.00011,-9.33E-05,-0.0092,-0.00926,0.00006,
1.1678,1.16791,-0.00011,-9.39E-05,-0.0041,-0.0041,0,
1.1695,1.16965,-0.00015,-0.000126277,0.0017,0.00174,-0.00004,
1.167,1.16713,-0.00013,-0.000108113,-0.0025,-0.00252,0.00002,
1.167,1.16714,-0.00014,-0.000116199,0,0.00001,-0.00001,
1.1744,1.17453,-0.00013,-0.000110343,0.0074,0.00739,0.00001,
1.1704,1.17053,-0.00013,-0.00010836,-0.004,-0.004,0,
1.1671,1.16728,-0.00018,-0.000150122,-0.0033,-0.00325,-0.00005,
1.1773,1.17745,-0.00015,-0.00012845,0.0102,0.01018,0.00002,
1.1757,1.17588,-0.00018,-0.000156001,-0.0016,-0.00157,-0.00003,
1.1676,1.16782,-0.00022,-0.000184737,-0.0081,-0.00807,-0.00003,
1.1679,1.16809,-0.00019,-0.000162012,0.0003,0.00027,0.00003,
1.1733,1.17348,-0.00018,-0.000151169,0.0054,0.00539,0.00001,
1.1763,1.17644,-0.00014,-0.000119186,0.003,0.00296,0.00004,
1.1805,1.18072,-0.00022,-0.000185886,0.0042,0.00428,-0.00008,
1.1768,1.17699,-0.00019,-0.000164928,-0.0037,-0.00373,0.00003,
1.1793,1.1795,-0.0002,-0.000172492,0.0025,0.00251,-0.00001,
1.1754,1.17556,-0.00016,-0.000136416,-0.0039,-0.00394,0.00004,
1.1728,1.17301,-0.00021,-0.000181742,-0.0026,-0.00255,-0.00005,
1.1693,1.16946,-0.00016,-0.000134315,-0.0035,-0.00356,0.00006,
1.1531,1.15323,-0.00013,-0.000114096,-0.0162,-0.01623,0.00003,
1.1682,1.1684,-0.0002,-0.000175448,0.0151,0.01517,-0.00007,
1.1728,1.17294,-0.00014,-0.000123386,0.0046,0.00454,0.00006,
1.1749,1.17512,-0.00022,-0.000184544,0.0021,0.00217,-0.00007,
1.1789,1.17905,-0.00015,-0.000127676,0.004,0.00393,0.00007,
1.1722,1.1724,-0.0002,-0.000173765,-0.0067,-0.00665,-0.00005,
1.1647,1.16494,-0.00024,-0.000203456,-0.0075,-0.00747,-0.00003,
1.1618,1.16201,-0.00021,-0.000181861,-0.0029,-0.00293,0.00003,
1.1584,1.15864,-0.00024,-0.000210945,-0.0034,-0.00337,-0.00003,
1.1607,1.16086,-0.00016,-0.000140454,0.0023,0.00222,0.00008,
1.1542,1.1544,-0.0002,-0.000172037,-0.0065,-0.00646,-0.00004,
1.1389,1.13914,-0.00024,-0.000208362,-0.0153,-0.01526,-0.00004,
1.1302,1.13041,-0.00021,-0.000182544,-0.0087,-0.00873,0.00003,
1.1406,1.14081,-0.00021,-0.000186596,0.0104,0.01041,-0.00001,
1.1468,1.147,-0.0002,-0.000170364,0.0062,0.00618,0.00002,
1.145,1.14517,-0.00017,-0.00014758,-0.0018,-0.00183,0.00003,
1.1548,1.15501,-0.00021,-0.000179683,0.0098,0.00984,-0.00004,
1.1547,1.15497,-0.00027,-0.000233748,-0.0001,-0.00004,-0.00006,
1.1618,1.16205,-0.00025,-0.000215769,0.0071,0.00708,0.00002,
1.1609,1.16115,-0.00025,-0.000213058,-0.0009,-0.0009,0,
1.1593,1.15959,-0.00029,-0.000247053,-0.0016,-0.00156,-0.00004,
1.165,1.16523,-0.00023,-0.000194839,0.0057,0.00564,0.00006,
1.1631,1.16336,-0.00026,-0.000227515,-0.0019,-0.00186,-0.00004,
1.1607,1.16097,-0.00027,-0.00022849,-0.0024,-0.0024,0,
1.1573,1.15753,-0.00023,-0.000194856,-0.0034,-0.00344,0.00004,
1.1626,1.16287,-0.00027,-0.000228652,0.0053,0.00534,-0.00004,
1.1607,1.16098,-0.00028,-0.000244638,-0.0019,-0.00188,-0.00002,
1.1726,1.17283,-0.00023,-0.000192522,0.0119,0.01184,0.00006,
1.1689,1.16914,-0.00024,-0.000205272,-0.0037,-0.00369,-0.00001,
1.1698,1.17002,-0.00022,-0.000185656,0.0009,0.00088,0.00002,
1.1796,1.17985,-0.00025,-0.000208066,0.0098,0.00983,-0.00003,
1.1758,1.1761,-0.0003,-0.000253901,-0.0038,-0.00375,-0.00005,
1.1753,1.17553,-0.00023,-0.000198511,-0.0005,-0.00057,0.00007,
1.1737,1.17393,-0.00023,-0.000198937,-0.0016,-0.0016,0,
1.1755,1.17577,-0.00027,-0.000232086,0.0018,0.00184,-0.00004,
1.1783,1.17853,-0.00023,-0.000197764,0.0028,0.00276,0.00004,
1.1879,1.18817,-0.00027,-0.000224019,0.0096,0.00963,-0.00003,
1.195,1.19525,-0.00025,-0.000206726,0.0071,0.00708,0.00002,
1.2025,1.20276,-0.00026,-0.000216855,0.0075,0.00751,-0.00001,
1.1985,1.19883,-0.00033,-0.000276884,-0.004,-0.00393,-0.00007,
1.1925,1.19281,-0.00031,-0.000259086,-0.006,-0.00602,0.00002,
1.2005,1.20082,-0.00032,-0.000268295,0.008,0.00801,-0.00001,
1.216,1.2163,-0.0003,-0.000244743,0.0155,0.01548,0.00002,
1.2094,1.20974,-0.00034,-0.000278901,-0.0066,-0.00656,-0.00004,
1.2063,1.20656,-0.00026,-0.0002189,-0.0031,-0.00317,0.00007,
1.2087,1.20897,-0.00027,-0.00022417,0.0024,0.00241,-0.00001,
1.2155,1.2158,-0.0003,-0.000246316,0.0068,0.00683,-0.00003,
1.2193,1.21962,-0.00032,-0.000263278,0.0038,0.00382,-0.00002,
1.2264,1.22676,-0.00036,-0.000297591,0.0071,0.00714,-0.00004,
1.2261,1.22645,-0.00035,-0.000288601,-0.0003,-0.00031,0.00001,
1.2305,1.23078,-0.00028,-0.000228316,0.0044,0.00433,0.00007,
1.2231,1.22338,-0.00028,-0.0002278,-0.0074,-0.0074,0,
1.2125,1.21281,-0.00031,-0.000252298,-0.0106,-0.01057,-0.00003,
1.2264,1.22671,-0.00031,-0.000253467,0.0139,0.0139,0,
1.2258,1.22617,-0.00037,-0.000304513,-0.0006,-0.00054,-0.00006,
1.2278,1.22811,-0.00031,-0.000255048,0.002,0.00194,0.00006,
1.2216,1.22189,-0.00029,-0.00023755,-0.0062,-0.00622,0.00002,
1.2188,1.21918,-0.00038,-0.000310577,-0.0028,-0.00271,-0.00009,
1.2238,1.22417,-0.00037,-0.000298609,0.005,0.00499,0.00001,
1.228,1.2283,-0.0003,-0.000247213,0.0042,0.00414,0.00006,
1.2293,1.22969,-0.00039,-0.000313788,0.0013,0.00138,-0.00008,
1.2301,1.2304,-0.0003,-0.000243871,0.0008,0.00071,0.00009,
1.229,1.22932,-0.00032,-0.000258566,-0.0011,-0.00108,-0.00002,
1.2296,1.22992,-0.00032,-0.000258153,0.0006,0.0006,0,
1.2302,1.23054,-0.00034,-0.000278716,0.0006,0.00063,-0.00003,
1.2281,1.22844,-0.00034,-0.000273163,-0.0021,-0.00211,0.00001,
1.2309,1.23131,-0.00041,-0.000330489,0.0028,0.00287,-0.00007,
1.2217,1.22205,-0.00035,-0.000283186,-0.0092,-0.00926,0.00006,
1.23,1.23036,-0.00036,-0.000290511,0.0083,0.00831,-0.00001,
1.2275,1.22785,-0.00035,-0.000285711,-0.0025,-0.00251,0.00001,
1.2376,1.238,-0.0004,-0.000324204,0.0101,0.01015,-0.00005,
1.2394,1.23972,-0.00032,-0.000259733,0.0018,0.00172,0.00008,
1.2294,1.22978,-0.00038,-0.000307535,-0.01,-0.00994,-0.00006,
1.2347,1.23504,-0.00034,-0.000271982,0.0053,0.00526,0.00004,
1.2322,1.23252,-0.00032,-0.000256808,-0.0025,-0.00252,0.00002,
1.2432,1.24362,-0.00042,-0.000335232,0.011,0.0111,-0.0001,
1.2412,1.24153,-0.00033,-0.000268497,-0.002,-0.00208,0.00008,
1.2421,1.24242,-0.00032,-0.000260867,0.0009,0.00089,0.00001,
1.2429,1.24327,-0.00037,-0.000294871,0.0008,0.00084,-0.00004,
1.2427,1.24308,-0.00038,-0.000307685,-0.0002,-0.00018,-0.00002,
1.241,1.24133,-0.00033,-0.000263683,-0.0017,-0.00176,0.00006,
1.2281,1.22848,-0.00038,-0.000310101,-0.0129,-0.01285,-0.00005,
1.2303,1.23069,-0.00039,-0.000314489,0.0022,0.00221,-0.00001,
1.2309,1.2313,-0.0004,-0.000324454,0.0006,0.00061,-0.00001,
1.2262,1.2266,-0.0004,-0.000324358,-0.0047,-0.0047,0,
1.2289,1.22926,-0.00036,-0.000296667,0.0027,0.00267,0.00003,
1.2281,1.2285,-0.0004,-0.00032754,-0.0008,-0.00076,-0.00004,
1.2218,1.22222,-0.00042,-0.000341591,-0.0063,-0.00628,-0.00002,
1.2205,1.22086,-0.00036,-0.000293005,-0.0013,-0.00136,0.00006,
1.2225,1.22289,-0.00039,-0.000322088,0.002,0.00204,-0.00004,
1.2269,1.22724,-0.00034,-0.000275974,0.0044,0.00434,0.00006,
1.217,1.21735,-0.00035,-0.000289432,-0.0099,-0.00989,-0.00001,
1.2158,1.21622,-0.00042,-0.000344359,-0.0012,-0.00113,-0.00007,
1.2046,1.20501,-0.00041,-0.00034429,-0.0112,-0.0112,0,
1.1983,1.19872,-0.00042,-0.000346568,-0.0063,-0.0063,0,
1.2035,1.20392,-0.00042,-0.000351763,0.0052,0.00521,-0.00001,
1.1949,1.19527,-0.00037,-0.000306096,-0.0086,-0.00866,0.00006,
1.2012,1.20157,-0.00037,-0.00031003,0.0063,0.00631,-0.00001,
1.2118,1.21217,-0.00037,-0.000304359,0.0106,0.0106,0,
1.2236,1.22394,-0.00034,-0.000275692,0.0118,0.01177,0.00003,
1.2181,1.21846,-0.00036,-0.000291822,-0.0055,-0.00548,-0.00002,
1.223,1.22335,-0.00035,-0.000284595,0.0049,0.00489,0.00001,
1.2227,1.22309,-0.00039,-0.000315893,-0.0003,-0.00026,-0.00004,
1.2215,1.22185,-0.00035,-0.000288482,-0.0012,-0.00123,0.00003,
1.2252,1.22555,-0.00035,-0.000288005,0.0037,0.0037,0,
1.2231,1.22345,-0.00035,-0.000288819,-0.0021,-0.0021,0,
1.221,1.22138,-0.00038,-0.000308045,-0.0021,-0.00208,-0.00002,
1.2097,1.21007,-0.00037,-0.000307055,-0.0113,-0.0113,0,
1.2052,1.20557,-0.00037,-0.000309627,-0.0045,-0.0045,0,
1.2008,1.20122,-0.00042,-0.000351916,-0.0044,-0.00435,-0.00005,
1.1875,1.18786,-0.00036,-0.000303694,-0.0133,-0.01336,0.00006,
1.1924,1.19274,-0.00034,-0.000286911,0.0049,0.00488,0.00002,
1.2028,1.20319,-0.00039,-0.000328199,0.0104,0.01045,-0.00005,
1.1947,1.19503,-0.00033,-0.000277165,-0.0081,-0.00816,0.00006,
1.1949,1.19532,-0.00042,-0.000352989,0.0002,0.00029,-0.00009,
1.1961,1.19647,-0.00037,-0.000309942,0.0012,0.00115,0.00005,
1.2108,1.21116,-0.00036,-0.000295036,0.0147,0.01469,0.00001,
1.2116,1.21204,-0.00044,-0.000360441,0.0008,0.00088,-0.00008,
1.2066,1.20699,-0.00039,-0.000322735,-0.005,-0.00505,0.00005,
1.2086,1.20902,-0.00042,-0.000347909,0.002,0.00203,-0.00003,
1.2119,1.21226,-0.00036,-0.000295373,0.0033,0.00324,0.00006,
1.2253,1.22574,-0.00044,-0.000359099,0.0134,0.01348,-0.00008,
1.23,1.23037,-0.00037,-0.00030142,0.0047,0.00463,0.00007,
1.222,1.22243,-0.00043,-0.000355394,-0.008,-0.00794,-0.00006,
1.2296,1.23002,-0.00042,-0.000345443,0.0076,0.00759,0.00001,
1.2284,1.22879,-0.00039,-0.000319333,-0.0012,-0.00123,0.00003,
1.2354,1.23584,-0.00044,-0.00035338,0.007,0.00704,-0.00004,
1.2442,1.24466,-0.00046,-0.000371805,0.0088,0.00883,-0.00003,
1.2503,1.25073,-0.00043,-0.000342439,0.0061,0.00607,0.00003,
1.2528,1.25327,-0.00047,-0.000379096,0.0025,0.00255,-0.00005,
1.2551,1.25554,-0.00044,-0.000350618,0.0023,0.00227,0.00003,
1.246,1.24641,-0.00041,-0.000331465,-0.0091,-0.00913,0.00003,
1.252,1.25245,-0.00045,-0.000360808,0.006,0.00604,-0.00004,
1.2583,1.25869,-0.00039,-0.000307291,0.0063,0.00623,0.00007,
1.2626,1.263,-0.0004,-0.000319046,0.0043,0.00432,-0.00002,
1.2668,1.26726,-0.00046,-0.000366874,0.0042,0.00426,-0.00006,
1.2578,1.25821,-0.00041,-0.000324546,-0.009,-0.00906,0.00006,
1.2754,1.27588,-0.00048,-0.000374082,0.0176,0.01767,-0.00007,
1.2716,1.27208,-0.00048,-0.000380674,-0.0038,-0.00379,-0.00001,
1.278,1.27844,-0.00044,-0.000344508,0.0064,0.00636,0.00004,
1.2848,1.28528,-0.00048,-0.000375037,0.0068,0.00684,-0.00004,
1.2777,1.27817,-0.00047,-0.000364451,-0.0071,-0.00712,0.00002,
1.2844,1.28489,-0.00049,-0.000382665,0.0067,0.00673,-0.00003,
1.274,1.27445,-0.00045,-0.000356352,-0.0104,-0.01044,0.00004,
1.27,1.27045,-0.00045,-0.000351417,-0.004,-0.00401,0.00001,
1.2823,1.28278,-0.00048,-0.000373462,0.0123,0.01233,-0.00003,
1.279,1.27948,-0.00048,-0.000376244,-0.0033,-0.0033,0,
1.2814,1.28186,-0.00046,-0.000358572,0.0024,0.00238,0.00002,
1.2834,1.2839,-0.0005,-0.000389467,0.002,0.00204,-0.00004,
1.2883,1.28873,-0.00043,-0.000332385,0.0049,0.00483,0.00007,
1.2881,1.28853,-0.00043,-0.000330761,-0.0002,-0.0002,0,
1.2845,1.28495,-0.00045,-0.000350094,-0.0036,-0.00358,-0.00002,
1.2859,1.2864,-0.0005,-0.000387447,0.0014,0.00145,-0.00005,
1.2935,1.29398,-0.00048,-0.00037471,0.0076,0.00759,0.00001,
1.2922,1.29268,-0.00048,-0.000368143,-0.0013,-0.00131,0.00001,
1.2866,1.28708,-0.00048,-0.000376273,-0.0056,-0.00559,-0.00001,
1.2789,1.27937,-0.00047,-0.000370016,-0.0077,-0.00771,0.00001,
1.2782,1.27865,-0.00045,-0.000350977,-0.0007,-0.00072,0.00002,
1.2722,1.27268,-0.00048,-0.00037576,-0.006,-0.00597,-0.00003,
1.2597,1.26014,-0.00044,-0.000346128,-0.0125,-0.01254,0.00004,
1.2671,1.26759,-0.00049,-0.000383842,0.0074,0.00745,-0.00005,
1.27,1.27052,-0.00052,-0.000406409,0.0029,0.00293,-0.00003,
1.2803,1.28078,-0.00048,-0.000373926,0.0103,0.01026,0.00004,
1.2909,1.29136,-0.00046,-0.000355648,0.0106,0.01058,0.00002,
1.2829,1.28337,-0.00047,-0.000368191,-0.008,-0.00799,-0.00001,
1.2844,1.28484,-0.00044,-0.000343312,0.0015,0.00147,0.00003,
1.2736,1.27405,-0.00045,-0.000357168,-0.0108,-0.01079,-0.00001,
1.2725,1.27298,-0.00048,-0.000376277,-0.0011,-0.00108,-0.00002,
1.2795,1.27994,-0.00044,-0.000343327,0.007,0.00696,0.00004,
1.2841,1.28463,-0.00053,-0.000410932,0.0046,0.00469,-0.00009,
1.2867,1.28718,-0.00048,-0.000369478,0.0026,0.00255,0.00005,
1.3039,1.30437,-0.00047,-0.000358343,0.0172,0.01719,0.00001,
1.3006,1.30115,-0.00055,-0.000419873,-0.0033,-0.00322,-0.00008,
1.3039,1.30437,-0.00047,-0.000363807,0.0033,0.00323,0.00007,
1.2989,1.29945,-0.00055,-0.000425416,-0.005,-0.00492,-0.00008,
1.2926,1.29308,-0.00048,-0.000373495,-0.0063,-0.00637,0.00007,
1.2871,1.28755,-0.00045,-0.000353095,-0.0055,-0.00553,0.00003,
1.2989,1.29942,-0.00052,-0.000398822,0.0118,0.01186,-0.00006,
1.3107,1.31118,-0.00048,-0.000366258,0.0118,0.01176,0.00004,
1.309,1.30951,-0.00051,-0.000388764,-0.0017,-0.00167,-0.00003,
1.317,1.31753,-0.00053,-0.000399261,0.008,0.00802,-0.00002,
1.2937,1.29417,-0.00047,-0.000363622,-0.0233,-0.02336,0.00006,
1.2981,1.29859,-0.00049,-0.000378962,0.0044,0.00442,-0.00002,
1.3022,1.30275,-0.00055,-0.000419726,0.0041,0.00415,-0.00005,
1.29,1.29053,-0.00053,-0.000409577,-0.0122,-0.01222,0.00002,
1.29,1.29052,-0.00052,-0.000402921,0,-0.00001,0.00001,
1.3064,1.30693,-0.00053,-0.000405305,0.0164,0.01641,-0.00001,
1.3131,1.3136,-0.0005,-0.000382674,0.0067,0.00667,0.00003,
1.3313,1.33182,-0.00052,-0.00039013,0.0182,0.01822,-0.00002,
1.3278,1.32827,-0.00047,-0.000352793,-0.0035,-0.00355,0.00005,
1.3219,1.32242,-0.00052,-0.000389614,-0.0059,-0.00585,-0.00005,
1.3193,1.31978,-0.00048,-0.000367228,-0.0026,-0.00263,0.00003,
1.3025,1.30299,-0.00049,-0.000377195,-0.0168,-0.01679,-0.00001,
1.3075,1.30806,-0.00056,-0.000429829,0.005,0.00507,-0.00007,
